h,n,mae,rmse,crps,crps_no_ar,cover50,cover80,cover95
1,83,2.702,3.761,1.887,1.843,0.494,0.855,0.964
2,82,2.544,3.603,1.81,1.797,0.585,0.89,0.963
3,81,2.569,3.654,1.833,1.819,0.58,0.901,0.963
4,80,2.533,3.63,1.817,1.818,0.562,0.9,0.962
5,79,2.577,3.658,1.829,1.826,0.57,0.899,0.962
6,78,2.549,3.634,1.814,1.817,0.551,0.885,0.962
7,77,2.492,3.622,1.796,1.79,0.571,0.909,0.961
8,76,2.363,3.338,1.689,1.677,0.592,0.908,0.974
9,75,2.37,3.413,1.706,1.707,0.573,0.907,0.987
10,74,2.399,3.379,1.704,1.701,0.568,0.905,0.973
11,73,2.455,3.499,1.749,1.748,0.589,0.89,0.973
12,72,2.436,3.479,1.742,1.738,0.583,0.903,0.972
