month_start,actual,mu_hat,sigma_hat,z
2013-05-01,61.495,66.436,2.417,-2.0443
2013-06-01,70.645,72.7,1.803,-1.1401
2013-07-01,70.501,75.031,1.567,-2.89
2013-08-01,70.614,72.805,1.649,-1.3283
2013-09-01,68.23,66.619,2.071,0.7777
2013-10-01,59.043,58.133,2.922,0.3114
2013-11-01,45.197,49.622,4.22,-1.0484
2013-12-01,37.98,43.367,5.658,-0.9521
2014-01-01,32.383,41.046,6.508,-1.3311
2014-02-01,41.082,43.281,6.185,-0.3555
2014-03-01,45.02,49.476,4.925,-0.9048
2014-04-01,54.63,57.971,3.492,-0.957
2014-05-01,60.61,66.492,2.417,-2.4336
2014-06-01,72.113,72.756,1.803,-0.3568
2014-07-01,71.2,75.087,1.567,-2.4797
2014-08-01,71.82,72.86,1.649,-0.6309
2014-10-01,59.377,58.189,2.922,0.4066
2014-11-01,42.193,49.678,4.22,-1.7734
2014-12-01,47.09,43.423,5.658,0.6482
2015-01-01,36.048,41.101,6.508,-0.7765
2015-02-01,39.606,43.337,6.185,-0.6032
2015-03-01,50.454,49.532,4.925,0.1872
2015-04-01,60.839,58.027,3.492,0.8053
2015-05-01,67.343,66.548,2.417,0.329
2015-06-01,71.823,72.812,1.803,-0.5486
2015-07-01,74.751,75.143,1.567,-0.2499
2015-08-01,70.887,72.916,1.649,-1.2305
2015-09-01,67.061,66.731,2.071,0.1594
2015-10-01,56.705,58.245,2.922,-0.5271
2015-11-01,52.617,49.734,4.22,0.6832
2015-12-01,47.17,43.479,5.658,0.6524
2016-01-01,38.801,41.157,6.508,-0.3621
2016-02-01,42.869,43.393,6.185,-0.0847
2016-03-01,53.259,49.588,4.925,0.7455
2016-04-01,58.487,58.083,3.492,0.1157
2016-05-01,64.863,66.604,2.417,-0.7202
2016-06-01,72.658,72.868,1.803,-0.1165
2016-07-01,76.089,75.199,1.567,0.5681
2016-08-01,74.761,72.972,1.649,1.0846
2016-09-01,70.57,66.787,2.071,1.8265
2016-10-01,61.402,58.301,2.922,1.0615
2016-11-01,55.481,49.789,4.22,1.3486
2016-12-01,45.223,43.534,5.658,0.2984
2017-01-01,44.245,41.213,6.508,0.4659
2017-02-01,52.507,43.449,6.185,1.4644
2017-03-01,56.019,49.644,4.925,1.2945
2017-04-01,59.62,58.139,3.492,0.4242
2017-05-01,62.639,66.66,2.417,-1.6635
2017-06-01,72.013,72.924,1.803,-0.5052
2017-07-01,74.653,75.254,1.567,-0.3837
2017-08-01,73.76,73.028,1.649,0.4438
2017-09-01,66.42,66.843,2.071,-0.2041
2017-10-01,54.723,58.357,2.922,-1.2438
2017-11-01,53.81,49.845,4.22,0.9394
2017-12-01,41.181,43.59,5.658,-0.4258
2018-01-01,31.135,41.269,6.508,-1.5572
2018-02-01,48.779,43.505,6.185,0.8527
2018-03-01,52.117,49.699,4.925,0.4909
2018-04-01,51.49,58.195,3.492,-1.9203
2018-05-01,68.358,66.715,2.417,0.6796
2018-06-01,74.867,72.98,1.803,1.0468
2018-07-01,74.113,75.31,1.567,-0.7639
2018-08-01,73.448,73.084,1.649,0.2207
2018-09-01,72.283,66.899,2.071,2.5996
2018-10-01,62.168,58.413,2.922,1.2854
2018-11-01,46.38,49.901,4.22,-0.8343
2018-12-01,41.981,43.646,5.658,-0.2943
2019-01-01,39.558,41.325,6.508,-0.2715
2019-02-01,47.461,43.561,6.185,0.6306
2019-03-01,48.432,49.755,4.925,-0.2687
2019-04-01,57.523,58.251,3.492,-0.2084
2019-05-01,68.153,66.771,2.417,0.5716
2019-06-01,72.737,73.036,1.803,-0.1656
2019-07-01,75.461,75.366,1.567,0.0605
2019-08-01,78.429,73.14,1.649,3.2072
2019-09-01,73.847,66.954,2.071,3.3277
2019-10-01,60.41,58.468,2.922,0.6646
2019-11-01,48.463,49.957,4.22,-0.354
2019-12-01,43.639,43.702,5.658,-0.0111
2020-01-01,46.671,41.381,6.508,0.8129
2020-02-01,45.314,43.616,6.185,0.2744
2020-03-01,62.274,49.811,4.925,2.5306
2020-04-01,59.343,58.307,3.492,0.2969
2020-05-01,66.755,66.827,2.417,-0.0299
2020-06-01,71.743,73.092,1.803,-0.748
2020-07-01,77.794,75.422,1.567,1.5132
2020-08-01,72.897,73.196,1.649,-0.1812
2020-09-01,67.387,67.01,2.071,0.1819
2020-10-01,57.316,58.524,2.922,-0.4136
2020-11-01,49.733,50.013,4.22,-0.0663
2020-12-01,40.368,43.758,5.658,-0.5991
2021-01-01,40.194,41.437,6.508,-0.191
2021-02-01,37.536,43.672,6.185,-0.9921
2021-03-01,51.694,49.867,4.925,0.371
2021-04-01,54.87,58.362,3.492,-1.0002
2021-05-01,67.084,66.883,2.417,0.0831
2021-06-01,73.547,73.147,1.803,0.2217
2021-07-01,74.319,75.478,1.567,-0.7394
2021-08-01,74.769,73.252,1.649,0.9201
2021-09-01,65.663,67.066,2.071,-0.6774
2021-10-01,60.174,58.58,2.922,0.5455
2021-11-01,46.76,50.069,4.22,-0.784
2021-12-01,57.823,43.814,5.658,2.476
2022-01-01,35.181,41.493,6.508,-0.9699
2022-02-01,36.561,43.728,6.185,-1.1587
2022-03-01,44.077,49.923,4.925,-1.187
2022-04-01,59.297,58.418,3.492,0.2517
2022-05-01,68.997,66.939,2.417,0.8515
2022-06-01,72.243,73.203,1.803,-0.5326
2022-07-01,75.2,75.534,1.567,-0.213
2022-08-01,74.532,73.308,1.649,0.7425
2022-09-01,65.737,67.122,2.071,-0.6687
2022-10-01,52.403,58.636,2.922,-2.1335
2022-11-01,49.61,50.125,4.22,-0.1219
2022-12-01,44.558,43.87,5.658,0.1217
2023-01-01,44.417,41.548,6.508,0.4408
2023-02-01,46.254,43.784,6.185,0.3993
2023-03-01,52.994,49.979,4.925,0.6122
2023-04-01,56.193,58.474,3.492,-0.6533
2023-05-01,66.529,66.995,2.417,-0.1927
2023-06-01,73.807,73.259,1.803,0.3039
2023-07-01,75.216,75.59,1.567,-0.2384
2023-08-01,71.79,73.363,1.649,-0.954
2023-09-01,69.483,67.178,2.071,1.1129
2023-10-01,58.252,58.692,2.922,-0.1506
2023-11-01,50.923,50.181,4.22,0.1759
2023-12-01,41.49,43.926,5.658,-0.4305
2024-01-01,35.813,41.604,6.508,-0.8899
2024-02-01,46.539,43.84,6.185,0.4364
2024-03-01,54.117,50.035,4.925,0.8289
2024-04-01,61.32,58.53,3.492,0.7991
2024-05-01,70.468,67.051,2.417,1.4139
2024-06-01,74.285,73.315,1.803,0.538
2024-07-01,74.373,75.646,1.567,-0.8119
2024-08-01,74.717,73.419,1.649,0.7869
2024-09-01,67.568,67.234,2.071,0.1614
2024-10-01,58.526,58.748,2.922,-0.0759
2024-11-01,52.743,50.236,4.22,0.5939
2024-12-01,48.171,43.981,5.658,0.7405
2025-01-01,33.555,41.66,6.508,-1.2455
2025-02-01,43.746,43.896,6.185,-0.0242
2025-03-01,52.055,50.091,4.925,0.3989
2025-04-01,60.743,58.586,3.492,0.6178
2025-05-01,66.361,67.107,2.417,-0.3085
2025-06-01,73.17,73.371,1.803,-0.1114
2025-07-01,73.668,75.701,1.567,-1.2973
2025-08-01,72.439,73.475,1.649,-0.6283
2025-09-01,66.18,67.29,2.071,-0.5357
