month_start,h,mean,sd,q025,q050,q100,q250,q500,q750,q900,q950,q975
2026-09-01,1,67.32,2.095,63.089,63.978,64.822,65.911,67.346,68.624,69.702,70.513,72.369
2026-10-01,2,58.844,2.947,52.853,54.113,55.306,56.899,58.884,60.681,62.232,63.327,65.793
2026-11-01,3,50.349,4.228,41.679,43.622,45.318,47.542,50.41,52.971,55.121,56.716,60.587
2026-12-01,4,44.115,5.692,32.448,34.973,37.306,40.324,44.196,47.662,50.538,52.752,57.798
2027-01-01,5,41.772,6.559,28.297,31.247,33.961,37.355,41.888,45.857,49.192,51.64,57.716
2027-02-01,6,43.999,6.18,31.47,34.132,36.62,39.869,44.071,47.854,51.008,53.369,58.868
2027-03-01,7,50.185,4.962,40.038,42.302,44.266,46.877,50.235,53.29,55.836,57.729,62.148
2027-04-01,8,58.678,3.555,51.499,53.02,54.412,56.327,58.702,60.881,62.733,64.16,67.21
2027-05-01,9,67.228,2.484,62.216,63.246,64.235,65.585,67.246,68.789,70.081,71.043,73.056
2027-06-01,10,73.485,1.867,69.716,70.48,71.218,72.257,73.498,74.642,75.647,76.416,77.792
2027-07-01,11,75.808,1.649,72.513,73.15,73.785,74.722,75.817,76.84,77.73,78.411,79.531
2027-08-01,12,73.578,1.732,70.116,70.795,71.463,72.444,73.589,74.657,75.586,76.278,77.484
