trend,k_mean,l_scale,scale_source,fit,n,crps,mae,rmse,bias,cover50,cover80,cover95,pit_p
anchored,BIC,BIC,anchor,OLS,930,1.7844,2.5044,3.5663,-0.2593,0.5667,0.8978,0.9699,0.0
anchored,2,BIC,anchor,WLS,930,1.7894,2.5094,3.5511,-0.1735,0.5581,0.8914,0.9667,0.0
none,BIC,BIC,anchor,OLS,930,1.7956,2.5196,3.5824,-0.4391,0.5667,0.9,0.9753,0.0
anchored,2,BIC,anchor,OLS,930,1.8063,2.5205,3.5827,-0.1683,0.5677,0.8753,0.9667,0.0
anchored,1,BIC,anchor,WLS,930,1.8065,2.5742,3.5814,-0.1756,0.5441,0.9,0.9667,0.0
anchored,BIC,BIC,anchor,WLS,930,1.8142,2.5464,3.599,-0.1889,0.5452,0.8989,0.9667,0.0
anchored,BIC,1,anchor,WLS,930,1.8142,2.5464,3.599,-0.1889,0.5452,0.8989,0.9667,0.0
anchored,BIC,2,target,WLS,930,1.8241,2.5476,3.5987,-0.2123,0.529,0.8882,0.9753,0.0
anchored,BIC,3,anchor,WLS,930,1.8279,2.5417,3.6025,-0.215,0.5462,0.8903,0.9742,0.0
anchored,BIC,2,anchor,WLS,930,1.8291,2.5498,3.6045,-0.2421,0.5387,0.8828,0.9742,0.0
anchored,BIC,BIC,target,WLS,930,1.8333,2.5668,3.6157,-0.1437,0.5258,0.9022,0.9731,0.0
none,BIC,BIC,target,WLS,930,1.8441,2.5912,3.6331,-0.3396,0.5581,0.8989,0.971,0.0
anchored,3,BIC,anchor,WLS,930,1.856,2.5888,3.73,-0.17,0.543,0.8667,0.9667,0.0
free,BIC,BIC,target,WLS,930,2.1665,3.0076,4.0487,1.6721,0.4839,0.6968,0.9258,0.0
