station,month,n_years,clim_mean_dwpf,clim_sd_dwpf,first_year,last_year
CFD,1,13,38.082,4.822,2014,2026
CFD,2,13,44.189,4.575,2014,2026
CFD,3,13,52.24,4.796,2014,2026
CFD,4,13,58.285,3.26,2014,2026
CFD,5,14,66.036,2.86,2013,2026
CFD,6,14,72.874,1.222,2013,2026
CFD,7,14,74.396,1.821,2013,2026
CFD,8,14,73.45,2.009,2013,2026
CFD,9,12,68.369,2.656,2013,2025
CFD,10,13,58.511,2.711,2013,2025
CFD,11,12,49.492,3.895,2013,2024
CFD,12,13,44.894,4.967,2013,2025
CLL,1,31,38.83,4.243,1996,2026
CLL,2,31,43.236,4.51,1996,2026
CLL,3,31,49.934,4.582,1996,2026
CLL,4,31,56.885,3.38,1996,2026
CLL,5,31,65.348,2.396,1996,2026
CLL,6,31,71.565,1.771,1996,2026
CLL,7,31,73.095,1.296,1996,2026
CLL,8,31,72.561,1.298,1996,2026
CLL,9,30,67.393,2.718,1996,2025
CLL,10,30,58.318,3.498,1996,2025
CLL,11,30,49.272,3.371,1996,2025
CLL,12,30,42.225,4.529,1996,2025
