station,year,month,month_start,n_days,mean_dwpf,sd_dwpf,p10_dwpf,p25_dwpf,p50_dwpf,p75_dwpf,p90_dwpf,min_dwpf,max_dwpf
CFD,2013,5,2013-05-01,28,61.495,12.431,42.56,56.98,67.78,70.18,71.72,32.2,73.4
CFD,2013,6,2013-06-01,30,70.645,4.115,64.11,69.58,72.41,73.4,73.76,60.8,74.3
CFD,2013,7,2013-07-01,30,70.501,4.558,65.16,69.53,71.69,73.16,74.34,55.76,75.74
CFD,2013,8,2013-08-01,31,70.614,4.054,65.48,69.8,71.78,73.2,74.3,58.0,75.2
CFD,2013,9,2013-09-01,30,68.23,4.825,60.62,67.46,69.31,71.0,72.07,54.0,74.84
CFD,2013,10,2013-10-01,30,59.043,10.328,46.49,51.53,57.11,69.17,73.04,42.44,74.0
CFD,2013,11,2013-11-01,30,45.197,12.654,29.3,36.64,43.76,50.86,64.81,23.9,69.26
CFD,2013,12,2013-12-01,31,37.98,11.429,27.14,29.48,34.7,45.86,54.32,22.46,65.3
CFD,2014,1,2014-01-01,31,32.383,13.608,18.32,22.82,31.1,40.37,53.6,9.5,59.36
CFD,2014,2,2014-02-01,28,41.082,13.036,26.56,31.28,39.5,47.57,60.76,19.0,65.0
CFD,2014,3,2014-03-01,30,45.02,12.537,32.45,37.19,43.52,53.69,63.34,16.52,67.28
CFD,2014,4,2014-04-01,30,54.63,11.523,37.45,47.66,57.6,64.18,69.0,31.1,69.8
CFD,2014,5,2014-05-01,29,60.61,9.556,44.46,55.76,64.4,67.28,68.79,40.28,71.78
CFD,2014,6,2014-06-01,30,72.113,2.391,70.63,71.33,72.68,73.54,74.3,64.22,74.66
CFD,2014,7,2014-07-01,28,71.2,2.108,68.7,70.26,71.6,72.54,73.45,66.38,75.2
CFD,2014,8,2014-08-01,29,71.82,3.904,68.14,70.7,71.6,75.2,75.56,60.0,77.0
CFD,2014,10,2014-10-01,30,59.377,8.406,50.0,53.38,58.23,64.98,72.14,45.32,75.2
CFD,2014,11,2014-11-01,30,42.193,13.923,24.46,32.85,38.39,56.75,60.6,16.7,62.6
CFD,2014,12,2014-12-01,31,47.09,11.228,31.28,38.84,48.38,55.4,62.24,29.12,65.48
CFD,2015,1,2015-01-01,31,36.048,8.969,30.2,33.26,34.7,39.24,46.76,9.5,56.48
CFD,2015,2,2015-02-01,28,39.606,11.798,27.18,29.57,36.86,49.1,55.44,21.56,61.7
CFD,2015,3,2015-03-01,31,50.454,10.619,37.76,44.6,51.62,59.0,61.0,23.72,65.66
